"","X","FID","COMID","FDATE","RESOLUTION","GNIS_ID","GNIS_NAME","LENGTHKM","REACHCODE","FLOWDIR","WBAREACOMI","FTYPE","FCODE","SHAPE_LENG","ENABLED","GNIS_NBR","LCM_Reach"
"1",1,0,23752414,"7/23/05 0:00","Medium",NA," ",2.548,1.709e+13,"With Digitized",23756298,"ArtificialPath",55800,0.023388959,TRUE,0,"Middle Fork Reach D"
"2",2,1,23752416,"7/23/05 0:00","Medium",NA," ",8.199,1.709e+13,"With Digitized",23756298,"ArtificialPath",55800,0.080639654,TRUE,0,"Middle Fork Reach D"
"3",3,2,23753954,"2/13/01 0:00","Medium",1148972,"Salmon Creek",0.332,1.709e+13,"With Digitized",23756316,"ArtificialPath",55800,0.004135829,TRUE,0,"Middle Fork Reach D"
"4",4,3,23752170,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.456,1.709e+13,"With Digitized",23756486,"ArtificialPath",55800,0.00544521,TRUE,0,"Middle Fork Reach E"
"5",5,4,23752166,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.284,1.709e+13,"With Digitized",23756490,"ArtificialPath",55800,0.003337882,TRUE,0,"Middle Fork Reach E"
"6",6,5,23751752,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",1.06,1.709e+13,"With Digitized",120049230,"ArtificialPath",55800,0.012838425,TRUE,0,"Middle Fork Reach A"
"7",7,6,23751754,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.352,1.709e+13,"With Digitized",23756146,"ArtificialPath",55800,0.004190945,TRUE,0,"Middle Fork Reach A"
"8",8,7,23751756,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.407,1.709e+13,"With Digitized",23756146,"ArtificialPath",55800,0.004752244,TRUE,0,"Middle Fork Reach A"
"9",9,8,23751758,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",1.157,1.709e+13,"With Digitized",23756146,"ArtificialPath",55800,0.014170242,TRUE,0,"Middle Fork Reach A"
"10",10,9,23751760,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.343,1.709e+13,"With Digitized",23756146,"ArtificialPath",55800,0.003404863,TRUE,0,"Middle Fork Reach A"
"11",11,10,23751762,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.572,1.709e+13,"With Digitized",23756146,"ArtificialPath",55800,0.00632271,TRUE,0,"Middle Fork Reach A"
"12",12,11,23751764,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.794,1.709e+13,"With Digitized",23756146,"ArtificialPath",55800,0.009517147,TRUE,0,"Middle Fork Reach A"
"13",13,12,23751766,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.022,1.709e+13,"With Digitized",23756146,"ArtificialPath",55800,0.000273227,TRUE,0,"Middle Fork Reach A"
"14",14,13,23751768,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.313,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.003895559,TRUE,0,"Middle Fork Reach A"
"15",15,14,23751770,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.101,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.001173533,TRUE,0,"Middle Fork Reach A"
"16",16,15,23751796,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.468,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.004327528,TRUE,0,"Middle Fork Reach A"
"17",17,16,23751798,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.641,1.709e+13,"With Digitized",0,"StreamRiver",46006,0.006251243,TRUE,0,"Middle Fork Reach A"
"18",18,17,23751800,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",1.495,1.709e+13,"With Digitized",23756166,"ArtificialPath",55800,0.016272345,TRUE,0,"Middle Fork Reach A"
"19",19,18,23751830,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",2.704,1.709e+13,"With Digitized",23756166,"ArtificialPath",55800,0.029539042,TRUE,0,"Middle Fork Reach A"
"20",20,19,23751832,"2/13/01 0:00","Medium",1146168,"Middle Fork Willamette River",0.398,1.709e+13,"With Digitized",23756166,"ArtificialPath",55800,0.004160556,TRUE,0,"Middle Fork Reach A"
