"COMID","GNIS_NAME","LCM_Reach","Huc6"
23735691,"Willamette River","Mainstem_Falls2Mouth","170900"
23751752,"Middle Fork Willamette River","Middle Fork Reach A","170900"
23751754,"Middle Fork Willamette River","Middle Fork Reach A","170900"
23751756,"Middle Fork Willamette River","Middle Fork Reach A","170900"
23751758,"Middle Fork Willamette River","Middle Fork Reach A","170900"
23751760,"Middle Fork Willamette River","Middle Fork Reach A","170900"
23751762,"Middle Fork Willamette River","Middle Fork Reach A","170900"
23751764,"Middle Fork Willamette River","Middle Fork Reach A","170900"
23751766,"Middle Fork Willamette River","Middle Fork Reach A",NA
23751768,"Middle Fork Willamette River","Middle Fork Reach A","170900"
23751770,"Middle Fork Willamette River","Middle Fork Reach A","170900"
23751772,"Middle Fork Willamette River","Middle Fork Reach A","170900"
23751774,"Middle Fork Willamette River","Middle Fork Reach A","170900"
23751776,"Middle Fork Willamette River","Middle Fork Reach A","170900"
23751778,"Middle Fork Willamette River","Middle Fork Reach A","170900"
23751780,"Middle Fork Willamette River","Middle Fork Reach A","170900"
23751782,"Middle Fork Willamette River","Middle Fork Reach A","170900"
23751788,"Middle Fork Willamette River","Middle Fork Reach A","170900"
23751790,"Middle Fork Willamette River","Middle Fork Reach A","170900"
23751794,"Middle Fork Willamette River","Middle Fork Reach A","170900"
23751796,"Middle Fork Willamette River","Middle Fork Reach A","170900"
23751798,"Middle Fork Willamette River","Middle Fork Reach A","170900"
23751800,"Middle Fork Willamette River","Middle Fork Reach A","170900"
23751830,"Middle Fork Willamette River","Middle Fork Reach A","170900"
23751832,"Middle Fork Willamette River","Middle Fork Reach A","170900"
23751834,"Middle Fork Willamette River","Middle Fork Reach A","170900"
23751836,"Middle Fork Willamette River","Middle Fork Reach A","170900"
23751838,"Middle Fork Willamette River","Middle Fork Reach A","170900"
23751840,"Middle Fork Willamette River","Middle Fork Reach A","170900"
23751842,"Middle Fork Willamette River","Middle Fork Migration","170900"
23751844,"Middle Fork Willamette River","Middle Fork Migration","170900"
23751846,"Middle Fork Willamette River","Middle Fork Migration","170900"
23751848,"Middle Fork Willamette River","Middle Fork Migration","170900"
23751850,"Middle Fork Willamette River","Middle Fork Migration",NA
23751852,"Middle Fork Willamette River","Middle Fork Migration","170900"
23751854,"Middle Fork Willamette River","Middle Fork Migration","170900"
23751856,"Middle Fork Willamette River","Middle Fork Migration","170900"
23751858,"Middle Fork Willamette River","Middle Fork Migration","170900"
23751860,"Middle Fork Willamette River","Middle Fork Migration","170900"
23751862,"Middle Fork Willamette River","Middle Fork Migration","170900"
23751864,"Middle Fork Willamette River","Middle Fork Migration","170900"
23751866,"Middle Fork Willamette River","Middle Fork Migration","170900"
23751868,"Middle Fork Willamette River","Middle Fork Migration","170900"
23751870,"Middle Fork Willamette River","Middle Fork Migration","170900"
23751872,"Middle Fork Willamette River","Middle Fork Migration","170900"
23751874,"Middle Fork Willamette River","Middle Fork Migration","170900"
23751876,"Middle Fork Willamette River","Middle Fork Migration","170900"
23751878,"Middle Fork Willamette River","Middle Fork Migration","170900"
23751880,"Middle Fork Willamette River","Middle Fork Reach D","170900"
23751882,"Middle Fork Willamette River","Middle Fork Reach D","170900"
23751884,"Middle Fork Willamette River","Middle Fork Reach D","170900"
23751886,"Middle Fork Willamette River","Middle Fork Reach D","170900"
23751890,"Middle Fork Willamette River","Middle Fork Reach D","170900"
23751892,"Middle Fork Willamette River","Middle Fork Reach D","170900"
23751894,"Middle Fork Willamette River","Middle Fork Reach D","170900"
23751896,"Middle Fork Willamette River","Middle Fork Reach D","170900"
23751898,"Middle Fork Willamette River","Middle Fork Reach D","170900"
23751900,"Middle Fork Willamette River","Middle Fork Reach D","170900"
23751902,"Middle Fork Willamette River","Middle Fork Reach D","170900"
23751906,"Middle Fork Willamette River","Middle Fork Reach D","170900"
23751908,"Middle Fork Willamette River","Middle Fork Reach D","170900"
23751910,"Middle Fork Willamette River","Middle Fork Reach D","170900"
23751918,"Middle Fork Willamette River","Middle Fork Reach D","170900"
23751920,"Middle Fork Willamette River","Middle Fork Reach D","170900"
23751922,"Middle Fork Willamette River","Middle Fork Reach D","170900"
23751924,"Middle Fork Willamette River","Middle Fork Reach D","170900"
23751926,"Middle Fork Willamette River","Middle Fork Reach D","170900"
23751928,"Middle Fork Willamette River","Middle Fork Reach D","170900"
23751930,"Middle Fork Willamette River","Middle Fork Reach D","170900"
23751932,"Middle Fork Willamette River","Middle Fork Reach D","170900"
23751934,"Middle Fork Willamette River","Middle Fork Reach D","170900"
23751936,"Middle Fork Willamette River","Middle Fork Reach D","170900"
23751938,"Middle Fork Willamette River","Middle Fork Reach D","170900"
23751940,"Middle Fork Willamette River","Middle Fork Reach D","170900"
23751942,"Middle Fork Willamette River","Middle Fork Reach D","170900"
23751944,"Middle Fork Willamette River","Middle Fork Reach D","170900"
23751946,"Middle Fork Willamette River","Middle Fork Reach E","170900"
23751948,"Middle Fork Willamette River","Middle Fork Reach E","170900"
23751950,"Middle Fork Willamette River","Middle Fork Reach E","170900"
